Altium Designer Pick and Place Locations
D:\Work\GitHub\My28Pins\Release Files\[2] Board Assembly\My28Pins FIXED 5V\Pick Place My28Pins FIXED 5V.txt

========================================================================================================================
File Design Information:

Date:       04/06/20
Time:       18:44
Revision:   Not in VersionControl
Variant:    FIXED 5V
Units used: mm

Designator      Comment          Layer    Footprint            Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
J3              "Hdr 1x8"        TopLayer Hdr_Fem_1x8_2.54mm   54.6100      50.8000      270      "8POS, 2.54MM, 1ROW"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
J1              "Hdr 1x8"        TopLayer Hdr_Fem_1x8_2.54mm   36.8300      2.5400       90       "8POS, 2.54MM, 1ROW"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Z2              CG0603MLC-05E    TopLayer R0603                7.1000       18.9000      90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1              CG0603MLC-05E    TopLayer R0603                7.1000       21.7000      270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2              16MHz            TopLayer ABM7_BIG             24.9000      28.9000      90       "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1              16MHz            TopLayer ABM7_BIG             44.1000      28.2000      180      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U7              SN74AHC1G09DBVR  TopLayer DBV_SOT23_5          21.6000      15.6000      360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6              SN74AHC1G09DBVR  TopLayer DBV_SOT23_5          65.9000      15.8000      270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U5              SN74AHC1G09DBVR  TopLayer DBV_SOT23_5          5.9000       26.7000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4              SN74AHC1G09DBVR  TopLayer DBV_SOT23_5          18.0000      43.9000      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3              TL1963A-33DCQR   TopLayer DCQ_(R-PSO-G6)       16.0000      14.6000      90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2              ATMEGA16U2-AU-ND TopLayer TQFP32               15.4000      30.0000      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
U1              ATMEGA328P-PU    TopLayer DIP28                45.5550      16.3832      270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW2             1825910-6        TopLayer 1825910-6            22.1500      5.2500       0        "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW1             1825910-6        TopLayer 1825910-6            63.2000      28.3750      270      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
"SOCKET FOR U1" "28-Dip Socket"  TopLayer 28_DIP_7.62MM_SOCKET -287.0200    -360.6800    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R28             0R               TopLayer R0805                33.1000      5.6000       270      "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
R27             0R               TopLayer R0805                33.1000      7.5000       270      "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
R26             0R               TopLayer R0805                14.1000      21.5000      360      "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
R25             22R              TopLayer R0805                28.0000      8.4000       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24             22R              TopLayer R0805                64.6000      23.1000      270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R23             22R              TopLayer R0805                2.1000       25.5000      360      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
